name,ring,quadrant,isNew,description
Cisco UCS 5108,Experimente,Platforms,FALSE,
Cisco UCSC-C240-M4S,Evite,Platforms,FALSE,
Dell R640 vSAN RN,Evite,Platforms,FALSE,
Dell R740 vSAN RN,Evite,Platforms,FALSE,
Dell R640 vSAN RN,Evite,Platforms,FALSE,
Dell R640,Evite,Platforms,FALSE,
Dell R640,Evite,Platforms,FALSE,
Cisco UCS B200 M5,Avalie,Platforms,FALSE,
Cisco B200 M5,Avalie,Platforms,FALSE,
Cisco UCS 6454,Avalie,Platforms,FALSE,
VMWare vCenter,Adote,Platforms,FALSE,
VMWare vSAN,Adote,Platforms,FALSE,
VMWare vSphere,Adote,Platforms,FALSE,
VMWare NSX-T,Adote,Platforms,FALSE,
VMWare vROPs,Adote,Platforms,FALSE,
VMWare VRLI,Adote,Platforms,FALSE,
VMWare VRNI,Adote,Platforms,FALSE,
VMWare Orchestrator,Avalie,Platforms,FALSE,
VMWare vCloud Usage Meter,Avalie,Platforms,FALSE,
Rabbitmq,Experimente,Platforms,FALSE,
Cassandra,Experimente,Platforms,FALSE,
Graylog,Experimente,Platforms,FALSE,
Check_mk,Experimente,Platforms,FALSE,
Gitlab,Evite,Platforms,FALSE,
Elasticsearch,Adote,Platforms,FALSE,
KairosDB,Evite,Platforms,FALSE,
Prometheus,Experimente,Platforms,FALSE,
Gitlab-runners,Evite,Platforms,FALSE,
Redis,Experimente,Platforms,FALSE,
Etcd,Experimente,Platforms,FALSE,
Mysql,Experimente,Platforms,FALSE,
K8s,Experimente,Platforms,FALSE,
Grafana,Experimente,Platforms,FALSE,
Unbound,Experimente,Platforms,FALSE,
OpenDNS,Experimente,Platforms,FALSE,
Cisco Nexus ASR-920,Avalie,Platforms,FALSE,tece
Nexus 93180YC-FX,Adote,Platforms,FALSE,
Cisco Nexus 9332C,Adote,Platforms,FALSE,
Juniper EX-4300,Avalie,Platforms,FALSE,
Palo Alto VM 500,Avalie,Platforms,FALSE,
Palo Alto VM 700,Avalie,Platforms,FALSE,
Fortinet 1101E,Avalie,Platforms,FALSE,
Fortinet VM04,Avalie,Platforms,FALSE,
Fortinet VM08,Avalie,Platforms,FALSE,
BigIP VE 200,Avalie,Platforms,FALSE,
BIG-IP 1600,Avalie,Platforms,FALSE,
BigIP 5250v,Avalie,Platforms,FALSE,
Cisco Nexus 9504,Avalie,Platforms,FALSE,
Cisco ASR 1004,Avalie,Platforms,FALSE,
Juniper EX4200,Avalie,Platforms,FALSE,
MSO,Adote,Platforms,FALSE,
PRTG Network Monitor,Adote,Platforms,FALSE,
Palo Alto 5220,Adote,Platforms,FALSE,"tesp02, tesp03, tesp05"
Palo Alto 5250,Avalie,Platforms,FALSE,tradicional
Palo Alto 3250,Avalie,Platforms,FALSE,"tesp04, Intera"
Palo Alto 3220,Avalie,Platforms,FALSE,tece01
Netgate XG-7100 1U,Avalie,Platforms,FALSE,
Pfsense Community,Avalie,Platforms,FALSE,
Graylog,Avalie,Platforms,FALSE,
Netapp AFF700,Adote,Platforms,FALSE,
Netapp AFF400,Avalie,Platforms,FALSE,
Cisco C220M5,Avalie,Platforms,FALSE,
NABOX,Experimente,Platforms,FALSE,
Cisco ASR 1004,Evite,Platforms,FALSE,
Cisco ASR 1001 HX,Evite,Platforms,FALSE,
Cisco Nexus ASR-920,Evite,Platforms,FALSE,
Nuage VSP,Evite,Platforms,FALSE,
Github,Adote,Platforms,FALSE,
