name,ring,quadrant,isNew,description
Cisco UCS 5108,Trial,Platforms,FALSE,
Cisco UCSC-C240-M4S,Hold,Platforms,FALSE,
Dell R640 vSAN RN,Hold,Platforms,FALSE,
Dell R740 vSAN RN,Hold,Platforms,FALSE,
Dell R640 vSAN RN,Hold,Platforms,FALSE,
Dell R640,Hold,Platforms,FALSE,
Dell R640,Hold,Platforms,FALSE,
Cisco UCS B200 M5,Assess,Platforms,FALSE,
Cisco B200 M5,Assess,Platforms,FALSE,
Cisco UCS 6454,Assess,Platforms,FALSE,
VMWare vCenter,Adopt,Platforms,FALSE,
VMWare vSAN,Adopt,Platforms,FALSE,
VMWare vSphere,Adopt,Platforms,FALSE,
VMWare NSX-T,Adopt,Platforms,FALSE,
VMWare vROPs,Adopt,Platforms,FALSE,
VMWare VRLI,Adopt,Platforms,FALSE,
VMWare VRNI,Adopt,Platforms,FALSE,
VMWare Orchestrator,Assess,Platforms,FALSE,
VMWare vCloud Usage Meter,Assess,Platforms,FALSE,
Rabbitmq,Trial,Platforms,FALSE,
Cassandra,Trial,Platforms,FALSE,
Graylog,Trial,Platforms,FALSE,
Check_mk,Trial,Platforms,FALSE,
Gitlab,Hold,Platforms,FALSE,
Elasticsearch,Adopt,Platforms,FALSE,
KairosDB,Hold,Platforms,FALSE,
Prometheus,Trial,Platforms,FALSE,
Gitlab-runners,Hold,Platforms,FALSE,
Redis,Trial,Platforms,FALSE,
Etcd,Trial,Platforms,FALSE,
Mysql,Trial,Platforms,FALSE,
K8s,Trial,Platforms,FALSE,
Grafana,Trial,Platforms,FALSE,
Unbound,Trial,Platforms,FALSE,
OpenDNS,Trial,Platforms,FALSE,
Cisco Nexus ASR-920,Assess,Platforms,FALSE,tece
Nexus 93180YC-FX,Adopt,Platforms,FALSE,
Cisco Nexus 9332C,Adopt,Platforms,FALSE,
Juniper EX-4300,Assess,Platforms,FALSE,
Palo Alto VM 500,Assess,Platforms,FALSE,
Palo Alto VM 700,Assess,Platforms,FALSE,
Fortinet 1101E,Assess,Platforms,FALSE,
Fortinet VM04,Assess,Platforms,FALSE,
Fortinet VM08,Assess,Platforms,FALSE,
BigIP VE 200,Assess,Platforms,FALSE,
BIG-IP 1600,Assess,Platforms,FALSE,
BigIP 5250v,Assess,Platforms,FALSE,
Cisco Nexus 9504,Assess,Platforms,FALSE,
Cisco ASR 1004,Assess,Platforms,FALSE,
Juniper EX4200,Assess,Platforms,FALSE,
MSO,Adopt,Platforms,FALSE,
PRTG Network Monitor,Adopt,Platforms,FALSE,
Palo Alto 5220,Adopt,Platforms,FALSE,"tesp02, tesp03, tesp05"
Palo Alto 5250,Assess,Platforms,FALSE,tradicional
Palo Alto 3250,Assess,Platforms,FALSE,"tesp04, Intera"
Palo Alto 3220,Assess,Platforms,FALSE,tece01
Netgate XG-7100 1U,Assess,Platforms,FALSE,
Pfsense Community,Assess,Platforms,FALSE,
Graylog,Assess,Platforms,FALSE,
Netapp AFF700,Adopt,Platforms,FALSE,
Netapp AFF400,Assess,Platforms,FALSE,
Cisco C220M5,Assess,Platforms,FALSE,
NABOX,Trial,Platforms,FALSE,
Cisco ASR 1004,Hold,Platforms,FALSE,
Cisco ASR 1001 HX,Hold,Platforms,FALSE,
Cisco Nexus ASR-920,Hold,Platforms,FALSE,
Nuage VSP,Hold,Platforms,FALSE,
Github,Adopt,Platforms,FALSE,
